,urls,address,m2,rooms,toilets,prices,latitude,longitude
1,https://www.portalinmobiliario.com/MLC-541469325-mujica-99-nunoa-chile-_JM#position=9&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Mujica 99, Ñuñoa, Chile, Ñuñoa ",40,1,1,320000,-33.4605856,-70.6059986
2,https://www.portalinmobiliario.com/MLC-541529014-mario-kreutzberger-1558-santiago-chile-_JM#position=10&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Mario Kreutzberger 1558, Santiago, Chile, Santiago ",33,1,1,235000,-33.43594442,-70.65948832
3,https://www.portalinmobiliario.com/MLC-541140407-jose-domingo-canas-705-nunoa-chile-_JM#position=12&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," José Domingo Cañas 705, Ñuñoa, Chile, Ñuñoa ",65,2,2,490000,-33.4567098,-70.609417
4,https://www.portalinmobiliario.com/MLC-541440070-irarrazaval-200-nunoa-chile-_JM#position=13&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Irarrázaval 200, Ñuñoa, Chile, Ñuñoa ",24,1,1,300000,-33.4541894,-70.604972
5,https://www.portalinmobiliario.com/MLC-541516529-avenida-espana-199-santiago-chile-_JM#position=14&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Avenida España 199, Santiago, Chile, Santiago ",35,1,1,260000,-33.45142997346939,-70.66993784489796
6,https://www.portalinmobiliario.com/MLC-541003757-espoz-3276-vitacura-chile-_JM#position=15&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Espoz 3276, Vitacura, Chile, Vitacura ",140,4,4,1000000,-33.39693215,-70.5996831695472
7,https://www.portalinmobiliario.com/MLC-541287728-lira-140-santiago-region-metropolitana-chile-_JM#position=16&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Lira 140, Santiago, Región Metropolitana, Chile, Santiago ",36,1,1,260000,-33.4445095,-70.6405555
8,https://www.portalinmobiliario.com/MLC-541280627-avenida-manuel-rodriguez-sur-540-santiago-chile-_JM#position=17&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Avenida Manuel Rodríguez Sur 540, Santiago, Chile, Santiago ",39,1,1,300000,-33.4491351,-70.6600392
9,https://www.portalinmobiliario.com/MLC-541437307-san-isidro-19-santiago-chile-_JM#position=18&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," San Isidro 19, Santiago, Chile, Santiago ",40,1,1,260000,-33.4429287,-70.6449855
10,https://www.portalinmobiliario.com/MLC-541301543-santa-isabel-157-santiago-chile-_JM#position=19&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Santa Isabel 157, Santiago, Chile, Santiago ",28,1,1,295000,-33.4477920375,-70.63408308125
11,https://www.portalinmobiliario.com/MLC-541524670-suarez-mujica-400-nunoa-chile-_JM#position=20&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Suárez Mujica 400, Ñuñoa, Chile, Ñuñoa ",70,2,2,500000,-33.4605856,-70.6059986
12,https://www.portalinmobiliario.com/MLC-540834850-jose-victorino-lastarria-70-santiago-chile-_JM#position=21&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," José Victorino Lastarria 70, Santiago, Chile, Santiago ",58,2,2,450000,-33.439649,-70.641734
13,https://www.portalinmobiliario.com/MLC-540960014-serrano-633-santiago-santiago-centro-chile-_JM#position=22&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Serrano 633, Santiago, Santiago Centro, Chile, Santiago ",65,2,2,480000,-33.452289,-70.6478872
17,https://www.portalinmobiliario.com/MLC-541536091-irarrazaval-1401-nunoa-chile-_JM#position=26&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Irarrázaval 1401, Ñuñoa, Chile, Ñuñoa ",60,2,2,470000,-33.4541894,-70.604972
18,https://www.portalinmobiliario.com/MLC-541439858-irarrazaval-200-nunoa-chile-_JM#position=27&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Irarrázaval 200, Ñuñoa, Chile, Ñuñoa ",33,1,1,385000,-33.4541894,-70.604972
24,https://www.portalinmobiliario.com/MLC-541588205-alonso-de-ercilla-3055-nunoa-chile-_JM#position=34&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Alonso De Ercilla 3055, Ñuñoa, Chile, Ñuñoa ",42,1,1,350000,-33.4520581,-70.5977326
25,https://www.portalinmobiliario.com/MLC-541005597-av-sta-rosa-634-santiago-chile-_JM#position=35&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Av. Sta. Rosa 634, Santiago, Chile, Santiago ",52,2,2,430000,-33.4439109,-70.6459961
26,https://www.portalinmobiliario.com/MLC-541576202-avenida-libertador-bernardo-ohiggins-232-santiago-chile-_JM#position=36&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Avenida Libertador Bernardo O'higgins 232, Santiago, Chile, Santiago ",70,3,1,320000,-33.439798,-70.6398329
27,https://www.portalinmobiliario.com/MLC-541520615-jose-domingo-canas-1585-nunoa-chile-_JM#position=37&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," José Domingo Cañas 1585, Ñuñoa, Chile, Ñuñoa ",90,3,2,650000,-33.4567098,-70.609417
29,https://www.portalinmobiliario.com/MLC-541105919-el-radal-lo-barnechea-chile-_JM#position=39&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," El Radal, Lo Barnechea, Chile, Lo Barnechea ",83,2,2,700000,-33.3641693,-70.5189841
32,https://www.portalinmobiliario.com/MLC-540809199-hamlet-4340-las-condes-chile-_JM#position=42&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Hamlet 4340, Las Condes, Chile, Las Condes ",52,1,1,470000,-33.4084548,-70.5671489
35,https://www.portalinmobiliario.com/MLC-541514078-19600-santiago-estacion-central-region-metropolitana-_JM#position=46&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," 19600, Santiago, Estación Central, Región Metropolitana, Chile, Estación Central ",38,2,1,300000,-33.4536375,-70.6898654
36,https://www.portalinmobiliario.com/MLC-541527137-moneda-2131-santiago-chile-_JM#position=47&type=item&tracking_id=c8e4ebf8-df80-4929-b6e6-6429af92fbf0," Moneda 2131, Santiago, Chile, Santiago ",35,1,1,300000,-33.44332212916667,-70.6655039625
